customer_id,age,gender,country,annual_income,total_spend,num_orders,avg_order_value,preferred_category,acquisition_channel,payment_method,device_type,customer_segment,satisfaction_score,days_since_last_order,churn_risk,loyalty_points,email_open_rate,return_rate,referral_count,account_age_days,avg_session_duration_sec,pages_per_session,cart_abandonment_rate,discount_usage_rate,reviews_submitted,wishlist_items,mobile_app_user,newsletter_subscriber,region
ECO-00001,32,Male,Australia,116065,5397,6,899.5,Beauty & Care,Organic Search,Credit Card,Desktop,New Customer,4.0,45,0,11506,0.348,0.017,3,1825,30.0,4,0.664,0.292,2,3,1,1,Asia Pacific
ECO-00002,42,Male,Japan,57782,5384,6,897.33,Electronics,Email,Credit Card,Mobile,New Customer,4.0,10,0,4048,0.377,0.072,2,1041,30.0,15,0.273,0.256,1,6,1,0,Asia Pacific
ECO-00003,18,Female,Canada,50760,2860,10,286.0,Books & Media,Social Media,UPI,Mobile,Potential Loyalist,4.0,23,0,5257,0.293,0.289,0,2058,30.0,3,0.344,0.124,0,5,0,0,North America
ECO-00004,26,Female,France,27753,3799,12,316.58,Food & Gourmet,Social Media,Debit Card,Desktop,Lost,3.0,19,0,7259,0.287,0.508,2,1532,30.0,5,0.6,0.109,0,6,1,1,Europe
ECO-00005,32,Female,Mexico,53586,3601,12,300.08,Food & Gourmet,Paid Ads,Debit Card,Desktop,At-Risk,5.0,6,0,9850,0.397,0.082,1,1301,30.0,8,0.729,0.03,1,2,0,0,Latin America
ECO-00006,57,Female,Japan,34435,3842,5,768.4,Toys & Games,Organic Search,Wallet,Mobile,Champion,5.0,0,0,10701,0.234,0.127,1,1867,30.0,10,0.391,0.635,0,2,1,0,Asia Pacific
ECO-00007,49,Male,India,53090,4852,8,606.5,Fashion,Organic Search,Wallet,Tablet,Loyal,3.0,79,0,10961,0.055,0.057,6,9,30.0,8,0.416,0.816,1,6,1,1,Asia Pacific
ECO-00008,31,Non-binary,Brazil,42450,2339,11,212.64,Home & Garden,Organic Search,UPI,Desktop,Lost,4.0,95,0,6477,0.247,0.234,2,626,57.0,4,0.739,0.109,4,4,0,1,Latin America
ECO-00009,42,Female,Germany,42099,4343,10,434.3,Electronics,Organic Search,UPI,Mobile,Loyal,4.0,13,0,1674,0.433,0.051,1,1634,30.0,4,0.469,0.929,2,1,1,1,Europe
ECO-00010,36,Male,USA,43737,1710,11,155.45,Books & Media,Paid Ads,Wallet,Desktop,Champion,5.0,106,1,7642,0.258,0.113,1,27,34.0,6,0.346,0.39,2,5,1,1,North America
ECO-00011,22,Female,USA,30468,2831,11,257.36,Toys & Games,Organic Search,UPI,Mobile,Potential Loyalist,2.0,94,0,2784,0.315,0.054,3,1068,30.0,8,0.311,0.144,2,2,0,0,North America
ECO-00012,24,Male,UAE,21604,882,13,67.85,Fashion,Referral,Debit Card,Mobile,At-Risk,4.0,21,0,1474,0.285,0.516,3,656,30.0,10,0.352,0.329,0,3,1,0,Middle East
ECO-00013,22,Male,UAE,61079,6861,8,857.62,Beauty & Care,Paid Ads,Debit Card,Mobile,Loyal,4.0,17,0,14785,0.066,0.269,1,1608,30.0,4,0.485,0.543,3,4,0,0,Middle East
ECO-00014,33,Female,France,29946,2298,10,229.8,Toys & Games,Email,Debit Card,Mobile,New Customer,4.0,1,0,636,0.212,0.124,6,2156,30.0,7,0.612,0.165,3,3,1,1,Europe
ECO-00015,35,Male,France,66905,6244,5,1248.8,Sports & Fitness,Email,Debit Card,Mobile,Potential Loyalist,4.0,21,1,12638,0.387,0.033,2,612,49.0,5,0.611,0.573,1,2,0,1,Europe
ECO-00016,18,Male,India,31800,2839,8,354.88,Food & Gourmet,Paid Ads,Debit Card,Desktop,Champion,4.0,34,0,9764,0.13,0.032,3,2145,72.0,8,0.206,0.372,2,1,0,1,Asia Pacific
ECO-00017,45,Non-binary,Canada,29212,3223,4,805.75,Books & Media,Referral,UPI,Mobile,Lost,4.0,39,0,7390,0.3,0.236,1,1191,36.0,7,0.365,0.28,2,5,1,0,North America
ECO-00018,34,Male,Australia,57683,7100,8,887.5,Books & Media,Direct,Wallet,Mobile,Lost,4.0,14,0,5758,0.579,0.138,1,2096,30.0,8,0.833,0.133,2,13,0,1,Asia Pacific
ECO-00019,32,Female,USA,27638,3211,8,401.38,Sports & Fitness,Organic Search,Credit Card,Mobile,At-Risk,4.0,35,0,1231,0.214,0.234,0,2456,131.0,3,0.358,0.757,0,1,1,1,North America
ECO-00020,30,Male,Mexico,28220,2764,7,394.86,Fashion,Paid Ads,Credit Card,Desktop,Loyal,4.0,42,0,8447,0.194,0.447,3,2310,191.0,5,0.555,0.292,3,3,1,1,Latin America
ECO-00021,51,Female,Japan,59829,4059,14,289.93,Sports & Fitness,Paid Ads,Credit Card,Mobile,Loyal,4.0,13,1,3815,0.231,0.252,0,2129,116.0,5,0.637,0.418,2,5,1,1,Asia Pacific
ECO-00022,31,Male,UAE,17062,834,9,92.67,Home & Garden,Direct,UPI,Mobile,At-Risk,5.0,70,0,11871,0.231,0.137,1,356,30.0,6,0.74,0.205,2,3,0,0,Middle East
ECO-00023,32,Female,India,34662,3138,4,784.5,Fashion,Organic Search,Credit Card,Desktop,Loyal,4.0,93,0,4272,0.595,0.072,3,2019,30.0,8,0.442,0.905,1,4,1,0,Asia Pacific
ECO-00024,41,Male,Japan,32550,1440,13,110.77,Books & Media,Social Media,Debit Card,Tablet,At-Risk,2.0,29,0,628,0.177,0.356,3,65,91.0,7,0.166,0.135,3,3,1,1,Asia Pacific
ECO-00025,33,Female,Canada,16660,1301,7,185.86,Home & Garden,Organic Search,UPI,Mobile,At-Risk,5.0,39,0,8330,0.196,0.116,1,2448,63.0,7,0.526,0.725,1,3,1,1,North America
ECO-00026,42,Male,UK,56403,4303,8,537.88,Sports & Fitness,Organic Search,Credit Card,Mobile,Lost,4.0,9,0,12221,0.456,0.1,2,362,30.0,3,0.38,0.374,2,3,0,1,Europe
ECO-00027,34,Non-binary,France,70451,6622,9,735.78,Food & Gourmet,Organic Search,UPI,Mobile,Loyal,2.0,40,0,13584,0.07,0.179,1,2124,30.0,5,0.636,0.188,1,3,1,1,Europe
ECO-00028,34,Non-binary,South Korea,26953,807,6,134.5,Sports & Fitness,Direct,Credit Card,Mobile,Champion,4.0,22,1,9808,0.122,0.192,5,804,48.0,7,0.312,0.385,3,3,1,1,Asia Pacific
ECO-00029,47,Non-binary,Germany,47409,4158,9,462.0,Toys & Games,Organic Search,Credit Card,Mobile,Hibernating,2.0,20,0,9475,0.303,0.001,1,365,31.0,5,0.737,0.704,1,3,1,1,Europe
ECO-00030,33,Female,France,40080,2281,7,325.86,Toys & Games,Paid Ads,Buy Now Pay Later,Desktop,Hibernating,3.0,7,0,12182,0.249,0.058,2,1131,30.0,4,0.21,0.157,2,2,1,1,Europe
ECO-00031,24,Female,Australia,40694,3799,8,474.88,Sports & Fitness,Paid Ads,Wallet,Mobile,At-Risk,5.0,89,0,12009,0.556,0.111,3,1265,30.0,9,0.613,0.492,3,2,1,1,Asia Pacific
ECO-00032,20,Female,Mexico,62734,2214,14,158.14,Toys & Games,Email,Debit Card,Mobile,Potential Loyalist,3.0,19,0,11588,0.058,0.104,3,2242,54.0,6,0.339,0.751,2,5,0,0,Latin America
ECO-00033,34,Male,Germany,61891,2989,8,373.62,Sports & Fitness,Social Media,Credit Card,Mobile,At-Risk,2.0,29,0,10237,0.25,0.04,2,906,30.0,9,0.516,0.118,1,3,1,1,Europe
ECO-00034,23,Female,UK,19058,667,8,83.38,Fashion,Organic Search,Credit Card,Mobile,Loyal,5.0,37,0,717,0.416,0.116,0,643,30.0,7,0.354,0.614,3,4,0,0,Europe
ECO-00035,42,Male,South Korea,44433,5039,8,629.88,Fashion,Referral,UPI,Mobile,At-Risk,5.0,23,0,7777,0.051,0.053,3,273,56.0,8,0.376,0.344,3,6,1,0,Asia Pacific
ECO-00036,37,Male,Brazil,36846,2743,9,304.78,Home & Garden,Email,Credit Card,Mobile,Potential Loyalist,3.0,19,0,8321,0.415,0.139,4,1059,56.0,3,0.31,0.443,2,4,1,0,Latin America
ECO-00037,30,Male,Canada,86247,9503,9,1055.89,Electronics,Email,Credit Card,Desktop,Loyal,4.0,42,0,3654,0.312,0.005,1,612,30.0,9,0.209,0.245,3,6,1,1,North America
ECO-00038,26,Non-binary,UAE,36648,2473,5,494.6,Food & Gourmet,Email,Debit Card,Mobile,Hibernating,5.0,53,0,4803,0.077,0.447,1,1266,45.0,7,0.813,0.483,0,2,1,1,Middle East
ECO-00039,33,Female,Japan,39099,3073,7,439.0,Fashion,Referral,Credit Card,Desktop,Potential Loyalist,4.0,31,0,2104,0.313,0.029,1,1562,30.0,4,0.374,0.29,3,4,0,1,Asia Pacific
ECO-00040,40,Male,France,31119,1720,3,573.33,Electronics,Social Media,UPI,Mobile,Lost,4.0,6,0,429,0.316,0.088,0,514,77.0,5,0.497,0.092,0,5,1,0,Europe
ECO-00041,43,Non-binary,Canada,32272,1284,14,91.71,Sports & Fitness,Organic Search,UPI,Mobile,Lost,4.0,78,0,13953,0.415,0.242,2,1330,105.0,6,0.351,0.25,1,6,1,1,North America
ECO-00042,20,Female,India,6928,175,15,11.67,Electronics,Email,Wallet,Mobile,Lost,4.0,21,0,6012,0.475,0.043,1,1629,106.0,4,0.057,0.188,1,4,0,0,Asia Pacific
ECO-00043,54,Male,France,41209,4193,10,419.3,Books & Media,Organic Search,Credit Card,Tablet,Loyal,4.0,11,0,5145,0.167,0.142,1,1192,30.0,7,0.754,0.07,3,7,0,0,Europe
ECO-00044,26,Male,Australia,22220,577,8,72.12,Home & Garden,Social Media,Credit Card,Mobile,New Customer,3.0,119,0,2024,0.099,0.216,0,2489,36.0,7,0.166,0.821,6,1,1,1,Asia Pacific
