customer_id,age,gender,country,annual_income,total_spend,num_orders,avg_order_value,preferred_category,acquisition_channel,payment_method,device_type,customer_segment,satisfaction_score,days_since_last_order,churn_risk,loyalty_points,email_open_rate,return_rate,referral_count,account_age_days,avg_session_duration_sec,pages_per_session,cart_abandonment_rate,discount_usage_rate,reviews_submitted,wishlist_items,mobile_app_user,newsletter_subscriber,region,clv_score,engagement_score,spend_to_income_ratio,recency_score,digital_maturity_score,value_tier,income_bracket,age_group,tenure_tier,session_depth,rfm_score,cluster,pca1,pca2
ECO-00001,32,Male,Australia,116065,5397,6,899.5,Beauty & Care,Organic Search,Credit Card,Desktop,New Customer,4.0,45,0,11506,0.348,0.017,3,1825,30.0,4,0.664,0.292,2,3,1,1,Asia Pacific,4244.2,0.267,0.0465,0.8875,0.73,Diamond,Premium,Millennial (26-35),4yr+,Bouncer,0.4805,1,1.1565773131463064,-0.1809182898202902
ECO-00002,42,Male,Japan,57782,5384,6,897.33,Electronics,Email,Credit Card,Mobile,New Customer,4.0,10,0,4048,0.377,0.072,2,1041,30.0,15,0.273,0.256,1,6,1,0,Asia Pacific,3997.08,0.1842,0.0932,0.975,0.5125,Diamond,High,Gen X (36-45),2-4yr,Bouncer,0.5108,1,1.0354042496956732,-1.118340425814188
ECO-00003,18,Female,Canada,50760,2860,10,286.0,Books & Media,Social Media,UPI,Mobile,Potential Loyalist,4.0,23,0,5257,0.293,0.289,0,2058,30.0,3,0.344,0.124,0,5,0,0,North America,1626.77,0.1224,0.0563,0.9425,0.0225,Gold,High,Gen Z (18-25),4yr+,Bouncer,0.4597,0,-0.5002348921875286,-0.8005041629176339
ECO-00004,26,Female,France,27753,3799,12,316.58,Food & Gourmet,Social Media,Debit Card,Desktop,Lost,3.0,19,0,7259,0.287,0.508,2,1532,30.0,5,0.6,0.109,0,6,1,1,Europe,1121.46,0.2542,0.1369,0.9525,0.7375,Silver,Mid,Millennial (26-35),4yr+,Bouncer,0.4984,3,-0.6322967464630318,0.9955653586838082
ECO-00005,32,Female,Mexico,53586,3601,12,300.08,Food & Gourmet,Paid Ads,Debit Card,Desktop,At-Risk,5.0,6,0,9850,0.397,0.082,1,1301,30.0,8,0.729,0.03,1,2,0,0,Latin America,3305.72,0.1868,0.0672,0.985,0.06,Platinum,High,Millennial (26-35),2-4yr,Bouncer,0.5048,0,0.4656804960444946,0.38450113580670614
ECO-00006,57,Female,Japan,34435,3842,5,768.4,Toys & Games,Organic Search,Wallet,Mobile,Champion,5.0,0,0,10701,0.234,0.127,1,1867,30.0,10,0.391,0.635,0,2,1,0,Asia Pacific,3354.07,0.1143,0.1116,1.0,0.475,Platinum,Mid,Senior (56+),4yr+,Bouncer,0.4752,0,0.6371391570025801,-2.0564490863734677
ECO-00007,49,Male,India,53090,4852,8,606.5,Fashion,Organic Search,Wallet,Tablet,Loyal,3.0,79,0,10961,0.055,0.057,6,9,30.0,8,0.416,0.816,1,6,1,1,Asia Pacific,2745.26,0.2346,0.0914,0.8025,0.76,Platinum,High,Boomer (46-55),<3mo,Bouncer,0.4488,3,0.23916427753059885,-0.044939160787918174
ECO-00008,31,Non-binary,Brazil,42450,2339,11,212.64,Home & Garden,Organic Search,UPI,Desktop,Lost,4.0,95,0,6477,0.247,0.234,2,626,57.0,4,0.739,0.109,4,4,0,1,Latin America,1433.34,0.2676,0.0551,0.7625,0.33,Silver,High,Millennial (26-35),1-2yr,Bouncer,0.3895,2,-0.6561804691364003,1.0985339026699503
ECO-00009,42,Female,Germany,42099,4343,10,434.3,Electronics,Organic Search,UPI,Mobile,Loyal,4.0,13,0,1674,0.433,0.051,1,1634,30.0,4,0.469,0.929,2,1,1,1,Europe,3297.21,0.2849,0.1032,0.9675,0.73,Platinum,High,Gen X (36-45),4yr+,Bouncer,0.5055,0,0.5130498788088073,0.8977167428547511
ECO-00010,36,Male,USA,43737,1710,11,155.45,Books & Media,Paid Ads,Wallet,Desktop,Champion,5.0,106,1,7642,0.258,0.113,1,27,34.0,6,0.346,0.39,2,5,1,1,North America,1516.77,0.2503,0.0391,0.735,0.745,Gold,High,Gen X (36-45),<3mo,Bouncer,0.3642,2,-0.5789628821947601,0.9927960259965944
